"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"848",10062,"From: 01 Jan 2018","To: 31 Dec 2018","West Virginia",2018,3,"Uganda",3,"Morgantown",3,22874
"849",32064,"From: 01 Jan 2002","To: 31 Dec 2002","Wisconsin",2002,214,"Afghanistan",25,"Milwaukee",19,30289
"850",56652,"From: 01 Jan 2003","To: 31 Dec 2003","Wisconsin",2003,242,"Afghanistan",13,"Milwaukee",3,32235
"851",38394,"From: 01 Jan 2004","To: 31 Dec 2004","Wisconsin",2004,2414,"Afghanistan",10,"Milwaukee",6,56342
"852",41411,"From: 01 Jan 2005","To: 31 Dec 2005","Wisconsin",2005,1170,"Afghanistan",1,"Waukesha",1,51897
"853",46836,"From: 01 Jan 2006","To: 31 Dec 2006","Wisconsin",2006,330,"Afghanistan",1,"Waukesha",1,39552
"854",44122,"From: 01 Jan 2007","To: 31 Dec 2007","Wisconsin",2007,353,"Afghanistan",9,"Hartland",3,47753
"855",23220,"From: 01 Jan 2008","To: 31 Dec 2008","Wisconsin",2008,457,"Afghanistan",4,"Milwaukee",4,64733
"856",26332,"From: 01 Jan 2009","To: 31 Dec 2009","Wisconsin",2009,629,"Bhutan",16,"Fitchburg",5,79942
"857",49726,"From: 01 Jan 2010","To: 31 Dec 2010","Wisconsin",2010,846,"Afghanistan",7,"Madison",2,71361
"858",51992,"From: 01 Jan 2011","To: 31 Dec 2011","Wisconsin",2011,687,"Afghanistan",1,"Madison",1,51458
"859",4988,"From: 01 Jan 2012","To: 31 Dec 2012","Wisconsin",2012,934,"Afghanistan",13,"Oshkosh",9,66292
"860",12838,"From: 01 Jan 2013","To: 31 Dec 2013","Wisconsin",2013,871,"Afghanistan",1,"Milwaukee",1,66066
"861",15692,"From: 01 Jan 2014","To: 31 Dec 2014","Wisconsin",2014,1337,"Bhutan",26,"Madison",26,72820
"862",29160,"From: 01 Jan 2015","To: 31 Dec 2015","Wisconsin",2015,1272,"Afghanistan",10,"Milwaukee",10,66517
"863",8437,"From: 01 Jan 2016","To: 31 Dec 2016","Wisconsin",2016,1877,"Afghanistan",26,"Madison",2,96874
"864",2347,"From: 01 Jan 2017","To: 31 Dec 2017","Wisconsin",2017,585,"Afghanistan",1,"Oshkosh",1,33368
"865",10063,"From: 01 Jan 2018","To: 31 Dec 2018","Wisconsin",2018,472,"Afghanistan",7,"Madison",4,22874
"866",17385,"From: 01 Jan 2019","To: 31 Dec 2019","Wisconsin",2019,480,"Afghanistan",4,"Madison",4,27514
