Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Afghanistan,9,Mobile,9,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Burma,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Central African Republic,5,Mobile,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Colombia,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Cuba,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Dem. Rep. Congo,54,Mobile,54,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Iraq,23,Mobile,23,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Pakistan,4,Mobile,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Rwanda,6,Mobile,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Somalia,11,Mobile,11,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alabama,CY 2016,120,Sudan,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Bhutan,6,Anchorage,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Burma,4,Anchorage,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Dem. Rep. Congo,24,Anchorage,24,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Eritrea,7,Anchorage,7,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Ethiopia,6,Anchorage,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Iraq,1,Anchorage,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Republic of South Sudan,4,Anchorage,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Russia,6,Wasilla,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Somalia,31,Anchorage,31,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Sudan,1,Anchorage,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Ukraine,22,Anchorage,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2016,Alaska,CY 2016,112,Ukraine,22,Sterling,5,"96,874"
