Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Afghanistan,5,Mobile,5,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Burma,1,Dothan,1,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Burundi,8,Mobile,8,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Birmingham,5,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Calera,4,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Mobile,22,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Eritrea,1,Mobile,1,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Ethiopia,1,Mobile,1,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Daphne,3,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Mobile,111,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Liberia,7,Mobile,7,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Russia,6,Mobile,6,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Rwanda,4,Mobile,4,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Somalia,5,Mobile,5,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Sudan,7,Mobile,7,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Ukraine,1,Birmingham,1,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alabama,CY 2009,211,Vietnam,20,Mobile,20,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alaska,CY 2009,93,Bhutan,58,Anchorage,58,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alaska,CY 2009,93,Dem. Rep. Congo,2,Anchorage,2,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alaska,CY 2009,93,Iran,4,Anchorage,4,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alaska,CY 2009,93,Somalia,15,Anchorage,15,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Alaska,CY 2009,93,Sudan,14,Anchorage,14,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Afghanistan,36,Phoenix,28,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Afghanistan,36,Tucson,8,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Angola,3,Phoenix,3,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Azerbaijan,3,Phoenix,3,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Bhutan,"1,009",Glendale,36,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Bhutan,"1,009",Phoenix,509,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Bhutan,"1,009",Tucson,464,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Burma,968,Gilbert,11,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Burma,968,Glendale,3,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Burma,968,Mesa,10,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Burma,968,Peoria,1,"79,942"
From: 01 Jan 2009,To: 31 Dec 2009,Arizona,CY 2009,"4,543",Burma,968,Phoenix,915,"79,942"
