Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Afghanistan,9,Mobile,9,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Burma,7,Mobile,7,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Cuba,6,Mobile,6,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Eritrea,1,Mobile,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Ethiopia,1,Mobile,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Iran,6,Mobile,6,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Iraq,64,Dadeville,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Iraq,64,Mobile,63,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Somalia,6,Mobile,6,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alabama,CY 2013,122,Sudan,22,Mobile,22,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Bhutan,5,Anchorage,5,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Burma,9,Anchorage,9,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Colombia,6,Anchorage,6,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Cuba,3,Anchorage,3,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Eritrea,1,Anchorage,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Iraq,4,Anchorage,3,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Iraq,4,Jber,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Somalia,22,Anchorage,22,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Alaska,CY 2013,89,Sudan,39,Anchorage,39,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Afghanistan,53,Peoria,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Afghanistan,53,Phoenix,39,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Afghanistan,53,Tucson,13,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Bhutan,148,Glendale,5,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Bhutan,148,Phoenix,65,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Bhutan,148,Tucson,78,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burma,293,Glendale,4,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burma,293,Peoria,1,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burma,293,Phoenix,274,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burma,293,Tempe,2,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burma,293,Tucson,12,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burundi,12,Phoenix,5,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Burundi,12,Tucson,7,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Central African Republic,40,Phoenix,27,"66,066"
From: 01 Jan 2013,To: 31 Dec 2013,Arizona,CY 2013,"2,756",Central African Republic,40,Tucson,13,"66,066"
