Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2006,To: 31 Dec 2006,Alabama,CY 2006,56,Cuba,3,Mobile,3,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alabama,CY 2006,56,Liberia,4,Phenix City,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alabama,CY 2006,56,Russia,30,Mobile,30,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alabama,CY 2006,56,Somalia,2,Mobile,2,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alabama,CY 2006,56,Sudan,17,Mobile,17,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Cuba,4,Fairbanks,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Moldova,4,Delta Junction,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Russia,1,Wasilla,1,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Ukraine,18,Wasilla,18,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Uzbekistan,6,Anchorage,6,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Alaska,CY 2006,37,Vietnam,4,Fairbanks,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Glendale,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Peoria,1,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Phoenix,59,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Scottsdale,6,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Sun City,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Afghanistan,85,Tucson,11,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Angola,3,Phoenix,3,"39,552"
From: 01 Jan 2006,To: 31 Dec 2006,Arizona,CY 2006,"1,439",Burma,113,Phoenix,103,"39,552"
