Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Burma,4,Birmingham,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Burma,4,Dothan,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Burundi,1,Mobile,1,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Chad,2,Mobile,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Cuba,20,Mobile,20,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Iran,1,Tuscaloosa,1,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Iraq,101,Birmingham,6,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Iraq,101,Jacksonville,4,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Iraq,101,Mobile,91,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Liberia,7,Mobile,5,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Liberia,7,Montgomery,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Somalia,20,Mobile,20,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alabama,CY 2008,165,Vietnam,9,Mobile,9,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Dem. Rep. Congo,24,Anchorage,24,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Georgia,6,Anchorage,6,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Iraq,2,Anchorage,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Russia,3,Wasilla,3,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Somalia,1,Anchorage,1,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Sudan,33,Anchorage,33,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Togo,7,Anchorage,7,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Alaska,CY 2008,85,Ukraine,9,Palmer,9,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Afghanistan,81,Phoenix,52,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Afghanistan,81,Tucson,29,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Bhutan,393,Glendale,46,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Bhutan,393,Phoenix,179,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Bhutan,393,Tucson,168,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Burma,820,Phoenix,752,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Burma,820,Tempe,9,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Burma,820,Tucson,59,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Burundi,200,Phoenix,140,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Burundi,200,Tucson,60,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Central African Republic,14,Phoenix,5,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Central African Republic,14,Tucson,9,"64,733"
From: 01 Jan 2008,To: 31 Dec 2008,Arizona,CY 2008,"3,392",Chad,3,Tucson,3,"64,733"
