Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2019,To: 31 Dec 2019,Alabama,CY 2019,21,Dem. Rep. Congo,13,Mobile,13,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Alabama,CY 2019,21,Honduras,4,Foley,4,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Alabama,CY 2019,21,Ukraine,4,Huntsville,4,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Alaska,CY 2019,39,Dem. Rep. Congo,8,Anchorage,8,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Alaska,CY 2019,39,Ukraine,31,Anchorage,5,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Alaska,CY 2019,39,Ukraine,31,Wasilla,26,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Afghanistan,97,Glendale,42,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Afghanistan,97,Phoenix,30,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Afghanistan,97,Tucson,25,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Burma,87,Glendale,61,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Burma,87,Phoenix,26,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Burundi,1,Phoenix,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Cameroon,1,Phoenix,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Central African Republic,19,Glendale,12,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Central African Republic,19,Tucson,7,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Colombia,11,Phoenix,6,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Colombia,11,Tucson,5,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Dem. Rep. Congo,710,Glendale,312,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Dem. Rep. Congo,710,Phoenix,195,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Dem. Rep. Congo,710,Tucson,203,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Egypt,1,Phoenix,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Eritrea,88,Glendale,22,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Eritrea,88,Phoenix,29,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Eritrea,88,Tucson,37,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Ethiopia,19,Laveen,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Ethiopia,19,Phoenix,13,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Ethiopia,19,Tucson,5,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Guinea,2,Phoenix,2,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Honduras,3,Tucson,3,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Iran,6,Glendale,2,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Iran,6,Phoenix,4,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Iraq,9,Peoria,3,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Iraq,9,Phoenix,6,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Liberia,9,Phoenix,2,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Liberia,9,Tucson,7,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Pakistan,12,Glendale,4,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Pakistan,12,Tucson,8,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Rwanda,1,Tucson,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Senegal,2,Phoenix,2,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Somalia,15,Glendale,4,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Somalia,15,Phoenix,1,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Somalia,15,Tucson,10,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Sudan,16,Phoenix,8,"27,514"
From: 01 Jan 2019,To: 31 Dec 2019,Arizona,CY 2019,"1,143",Sudan,16,Tucson,8,"27,514"
