Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Burma,7,Mobile,6,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Burma,7,Montgomery,1,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Burundi,40,Mobile,40,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Cuba,21,Mobile,21,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Dem. Rep. Congo,6,Mobile,6,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Eritrea,5,Mobile,5,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Iran,6,Mobile,6,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Russia,7,Mobile,7,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Somalia,30,Mobile,30,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alabama,CY 2007,137,Vietnam,15,Mobile,15,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alaska,CY 2007,17,Moldova,2,Delta Junction,2,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alaska,CY 2007,17,Russia,6,Anchorage,6,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Alaska,CY 2007,17,Uzbekistan,9,Anchorage,9,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Arizona,CY 2007,"2,024",Afghanistan,22,Glendale,1,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Arizona,CY 2007,"2,024",Afghanistan,22,Phoenix,21,"47,753"
From: 01 Jan 2007,To: 31 Dec 2007,Arizona,CY 2007,"2,024",Burma,590,Gilbert,7,"47,753"
