Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Afghanistan,1,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Burma,14,Mobile,14,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Colombia,5,Mobile,5,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Cuba,10,Mobile,10,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Dem. Rep. Congo,5,Mobile,5,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Eritrea,2,Mobile,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Ethiopia,3,Elba,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Ethiopia,3,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Iran,3,Mobile,3,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Iraq,36,Foley,7,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Iraq,36,Mobile,29,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Ivory Coast,1,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Somalia,22,Mobile,22,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alabama,CY 2014,116,Sudan,14,Mobile,14,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Bhutan,10,Anchorage,10,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Burma,4,Anchorage,4,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Congo,3,Anchorage,3,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Cuba,6,Anchorage,6,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Dem. Rep. Congo,42,Anchorage,42,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Eritrea,7,Anchorage,7,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Ethiopia,2,Anchorage,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Iran,1,Anchorage,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Iraq,22,Anchorage,22,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Somalia,79,Anchorage,79,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Alaska,CY 2014,203,Sudan,27,Anchorage,27,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Afghanistan,47,Glendale,9,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Afghanistan,47,Phoenix,21,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Afghanistan,47,Tucson,17,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Bhutan,70,Glendale,14,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Bhutan,70,Phoenix,30,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Bhutan,70,Tucson,26,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Burma,318,Glendale,78,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Burma,318,Phoenix,232,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Burma,318,Tucson,8,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Burundi,11,Phoenix,9,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Burundi,11,Tucson,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Cameroon,2,Tucson,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Central African Republic,15,Glendale,6,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Central African Republic,15,Phoenix,5,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Central African Republic,15,Tucson,4,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Chad,8,Phoenix,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Chad,8,Tucson,7,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Colombia,17,Phoenix,6,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Colombia,17,Tucson,11,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Congo,3,Phoenix,3,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Cuba,79,Glendale,25,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Cuba,79,Phoenix,30,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Cuba,79,Surprise,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Cuba,79,Tucson,23,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Dem. Rep. Congo,559,Avondale,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2014,Arizona,CY 2014,"3,178",Dem. Rep. Congo,559,Glendale,71,"72,820"
