Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,Burma,1,Birmingham,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,Dem. Rep. Congo,22,Mobile,22,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,El Salvador,1,Robertsdale,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,Somalia,3,Mobile,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,Vietnam,8,Birmingham,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alabama,CY 2018,35,Vietnam,8,Jasper,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alaska,CY 2018,33,Dem. Rep. Congo,6,Anchorage,6,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alaska,CY 2018,33,Moldova,4,Wasilla,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alaska,CY 2018,33,Sudan,5,Anchorage,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alaska,CY 2018,33,Ukraine,18,Anchorage,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Alaska,CY 2018,33,Ukraine,18,Delta Junction,13,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Afghanistan,85,Glendale,32,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Afghanistan,85,Phoenix,41,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Afghanistan,85,Tucson,12,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Algeria,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Bhutan,5,Tucson,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Burma,81,Glendale,34,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Burma,81,Phoenix,47,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Burundi,23,Glendale,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Burundi,23,Tolleson,8,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Burundi,23,Tucson,12,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Central African Republic,11,Tucson,11,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Colombia,5,Tucson,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Congo,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Dem. Rep. Congo,643,Chandler,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Dem. Rep. Congo,643,Glendale,210,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Dem. Rep. Congo,643,Phoenix,252,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Dem. Rep. Congo,643,Tucson,180,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Eritrea,90,Glendale,22,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Eritrea,90,Phoenix,48,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Eritrea,90,Tucson,20,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Ethiopia,31,Glendale,10,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Ethiopia,31,Phoenix,20,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Ethiopia,31,Tucson,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Guinea,2,Phoenix,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Ivory Coast,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Jordan,1,Tucson,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Liberia,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Moldova,1,Glendale,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Pakistan,47,Glendale,21,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Pakistan,47,Phoenix,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Pakistan,47,Tucson,22,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Rwanda,17,Glendale,13,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Rwanda,17,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Rwanda,17,Tucson,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Senegal,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Somalia,5,Phoenix,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arizona,CY 2018,"1,054",Sudan,2,Tucson,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arkansas,CY 2018,71,Dem. Rep. Congo,43,Fayetteville,43,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arkansas,CY 2018,71,El Salvador,15,Fayetteville,15,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arkansas,CY 2018,71,Honduras,1,Fayetteville,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arkansas,CY 2018,71,Rwanda,4,Fayetteville,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,Arkansas,CY 2018,71,Ukraine,8,Fayetteville,8,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,El Cajon,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,Glendale,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,Los Gatos,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,Sacramento,48,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,San Diego,47,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,San Jose,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,Turlock,56,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Afghanistan,166,Walnut Creek,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Armenia,31,Glendale,9,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Armenia,31,Los Angeles,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Armenia,31,Rancho Cordova,9,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Armenia,31,Sacramento,10,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Azerbaijan,2,Walnut Creek,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Belarus,42,Antelope,20,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Belarus,42,North Highlands,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Belarus,42,Rancho Cordova,8,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Belarus,42,Sacramento,8,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Belarus,42,Walnut Creek,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,Citrus Heights,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,Daly City,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,Fullerton,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,Los Angeles,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,Oakland,11,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,San Diego,18,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burma,36,San Jose,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Burundi,1,San Diego,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Central African Republic,13,San Diego,13,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Colombia,2,Glendale,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Dem. Rep. Congo,148,Glendale,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Dem. Rep. Congo,148,Lakeside,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Dem. Rep. Congo,148,Los Angeles,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Dem. Rep. Congo,148,San Diego,132,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",Dem. Rep. Congo,148,San Jose,6,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Bakersfield,6,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Bell Gardens,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Canoga Park,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Chino,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Colton,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Compton,7,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Fontana,2,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Glendale,17,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Hacienda Heights,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Long Beach,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Los Angeles,55,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Lynwood,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Mendota,8,"22,874"
From: 01 Jan 2018,To: 31 Dec 2018,California,CY 2018,"1,432",El Salvador,183,Norwalk,3,"22,874"
