Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Bosnia and Herzegovina,1,Mobile,1,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Burundi,3,Mobile,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Cuba,23,Mobile,23,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Iran,4,Birmingham,2,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Iran,4,Mobile,2,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Liberia,21,Mobile,21,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Somalia,20,Mobile,20,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Sudan,3,Mobile,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Ukraine,3,Huntsville,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alabama,CY 2004,82,Vietnam,4,Tuscaloosa,4,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Burma,1,Phoenix,1,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Laos,27,Anchorage,27,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Russia,3,Delta Junction,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Ukraine,15,Anchorage,5,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Ukraine,15,Wasilla,10,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Alaska,CY 2004,56,Uzbekistan,10,Delta Junction,10,"56,342"
From: 01 Jan 2004,To: 31 Dec 2004,Arizona,CY 2004,"2,087",Afghanistan,52,Glendale,3,"56,342"
