Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Afghanistan,10,Mobile,10,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Croatia,3,Mobile,3,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Cuba,4,Mobile,4,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Iran,2,Birmingham,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Iran,2,Mobile,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Serbia,5,Mobile,5,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Sierra Leone,2,Mobile,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Sudan,1,Mobile,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Ukraine,2,Huntsville,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Vietnam,10,Mobile,7,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alabama,CY 2002,39,Vietnam,10,Prattville,3,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alaska,CY 2002,31,Bosnia and Herzegovina,1,Anchorage,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alaska,CY 2002,31,Moldova,12,Delta Junction,12,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alaska,CY 2002,31,Russia,5,Palmer,5,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alaska,CY 2002,31,Ukraine,13,Delta Junction,11,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Alaska,CY 2002,31,Ukraine,13,Wasilla,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Afghanistan,198,Chandler,4,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Afghanistan,198,Phoenix,142,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Afghanistan,198,Tucson,52,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Angola,1,Phoenix,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Belarus,2,Tucson,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Bosnia and Herzegovina,76,Glendale,6,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Bosnia and Herzegovina,76,Phoenix,44,"30,289"
From: 01 Jan 2002,To: 31 Dec 2002,Arizona,CY 2002,934,Bosnia and Herzegovina,76,Scottsdale,6,"30,289"
