Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Afghanistan,8,Mobile,8,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Burundi,1,Mobile,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Cuba,19,Mobile,17,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Cuba,19,Russellville,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Dem. Rep. Congo,7,Mobile,7,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Eritrea,4,Mobile,4,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Ethiopia,3,Mobile,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Iran,2,Pelham,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Iraq,83,Huntsville,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Iraq,83,Mobile,81,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Iraq,83,Prattville,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Somalia,25,Mobile,25,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alabama,CY 2010,153,Vietnam,1,Mobile,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Bhutan,42,Anchorage,42,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Eritrea,4,Anchorage,4,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Iraq,13,Anchorage,13,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Palestine,7,Anchorage,7,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Russia,5,Anchorage,5,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Somalia,29,Anchorage,29,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Sudan,3,Anchorage,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Alaska,CY 2010,107,Ukraine,4,Anchorage,4,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Afghanistan,40,Glendale,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Afghanistan,40,Phoenix,29,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Afghanistan,40,Scottsdale,6,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Afghanistan,40,Tucson,4,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Bhutan,485,Glendale,5,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Bhutan,485,Phoenix,207,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Bhutan,485,Tucson,273,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burma,611,Glendale,6,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burma,611,Phoenix,567,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burma,611,Scottsdale,7,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burma,611,Tucson,31,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burundi,41,Phoenix,27,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Burundi,41,Tucson,14,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Central African Republic,9,Phoenix,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Central African Republic,9,Tucson,6,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Chad,3,Phoenix,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Chad,3,Tucson,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Colombia,2,Phoenix,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Congo,13,Phoenix,5,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Congo,13,Tucson,8,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Cuba,101,Glendale,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Cuba,101,Phoenix,84,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Cuba,101,Tucson,14,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Dem. Rep. Congo,195,Peoria,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Dem. Rep. Congo,195,Phoenix,169,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Dem. Rep. Congo,195,Tucson,24,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Eritrea,151,Laveen,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Eritrea,151,Phoenix,104,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Eritrea,151,Tucson,44,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Ethiopia,28,Glendale,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Ethiopia,28,Phoenix,19,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Ethiopia,28,Tucson,8,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",India,1,Phoenix,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Chandler,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Gilbert,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Glendale,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Mesa,14,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Peoria,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Phoenix,66,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Scottsdale,7,"71,361"
From: 01 Jan 2010,To: 31 Dec 2010,Arizona,CY 2010,"3,155",Iran,107,Surprise,1,"71,361"
