concerned,total,rep,dem,ind,men,women,18-34,35-49,50-64,65+,
Very concerned,21,10,29,21,20,22,20,21,21,19,
Somewhat concerned,37,28,45,39,35,39,34,34,39,44,
Not so concerned,25,31,19,29,24,25,27,26,25,23,
Not concerned at all,17,30,7,11,20,13,19,19,14,14,
