"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"439","Traffic Technicians",5.3,38.8,34.4,9.9,8,3.3,0.4,44.1,44.3,3.7,6980,45670,344044200,"High school diploma or equivalent","None",0.9,6050
"440","Training and Development Managers",0.5,6.1,15.9,10.4,39.8,23,4.3,6.6,26.3,27.3,34500,108250,4060305000,"Bachelor's degree","5 years or more",0.0063,32850
"441","Training and Development Specialists",1.9,11.4,21.6,10.1,35,18.2,1.9,13.3,31.7,20.1,280340,60360,18137998000,"Bachelor's degree","Less than 5 years",0.014,268770
"442","Transit and Railroad Police",0.8,11.7,32.1,16.4,32.5,5.6,0.9,12.5,48.5,6.5,5520,70280,393465600,"High school diploma or equivalent","None",0.57,3890
"443","Transportation Inspectors",5,32.7,30.9,14.1,14.4,2.7,0.2,37.7,45,2.9,30030,72140,2213811600,"High school diploma or equivalent","None",0.9,27220
"444","Travel Agents",2.1,18.8,29.1,14.7,28,6.4,0.8,20.9,43.8,7.2,67330,36990,2749757200,"High school diploma or equivalent","None",0.099,68690
"445","Tree Trimmers and Pruners",37.8,35.8,14.8,4.4,6.2,1,0.1,73.6,19.2,1.1,41140,36460,1587181200,"High school diploma or equivalent","None",0.77,36930
"446","Upholsterers",29.7,44.3,15,7.2,2.5,1.2,0.1,74,22.2,1.3,32500,33660,1139450000,"High school diploma or equivalent","None",0.39,31740
"447","Urban and Regional Planners",1.4,1,6.4,1.5,36.8,48.2,4.7,2.4,7.9,52.9,35310,71490,2625298500,"Master's degree","None",0.13,34810
"448","Veterinarians",0,0,0,0,0,2.5,97.5,0,0,100,69370,90420,7043136100,"Doctoral or professional degree","None",0.038,67650
"449","Veterinary Assistants and Laboratory Animal Caretakers",6.5,20.7,27.7,14.6,27.6,2.2,0.7,27.2,42.3,2.9,84400,26140,2326908000,"High school diploma or equivalent","None",0.86,79790
"450","Veterinary Technologists and Technicians",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,103430,33400,3590055300,"Associate's degree","None",0.029,99400
"451","Waiters and Waitresses",12.7,32.6,29.7,9.3,13.6,1.7,0.4,45.3,39,2.1,2584220,20820,65329081600,"No formal educational credential","None",0.94,2564620
"452","Watch Repairers",3.9,23.3,28.7,20.7,18.6,3.9,0.9,27.2,49.4,4.8,2130,35770,84198900,"High school diploma or equivalent","None",0.99,1090
"453","Water and Wastewater Treatment Plant and System Operators",3.4,40.2,31.5,11.6,11,2,0.3,43.6,43.1,2.3,117450,46150,5671660500,"High school diploma or equivalent","None",0.61,115630
"454","Wellhead Pumpers",11.5,46.3,26.9,7.8,7.1,0.3,0,57.8,34.7,0.3,11200,52260,594944000,"High school diploma or equivalent","Less than 5 years",0.84,11470
"455","Word Processors and Typists",2.8,28,32.1,14.3,18.2,3.8,0.7,30.8,46.4,4.5,65200,39740,2677764000,"High school diploma or equivalent","None",0.81,66320
"456","Writers and Authors",0.8,3.1,9.6,3.7,50.5,24.1,8.2,3.9,13.3,32.3,45300,61820,3267036000,"Bachelor's degree","None",0.038,44700
"457","Zoologists and Wildlife Biologists",0,0,0,0,47.5,31.4,21,0,0,52.4,17710,62290,1173287500,"Bachelor's degree","None",0.3,17220
