"","occupation","lessthanhs","hsdiploma","somecollege","associates","bachelors","masters","professional","hsorless","somecollegeorassociates","postgrad","TOT_EMP","A_MEDIAN","natlwage","typicaled","workexp","probability","total"
"325","Pest Control Workers",7.4,45.8,27.7,7.7,10,1.1,0.2,53.2,35.4,1.3,75130,34370,2750509300,"High school diploma or equivalent","None",0.66,72790
"326","Petroleum Engineers",0.3,5.2,7.6,2.9,54.8,24.5,4.6,5.5,10.5,29.1,32010,132280,4954507800,"Bachelor's degree","None",0.16,31510
"327","Pharmacists",0,0,1.2,1.2,33.8,6.4,57.4,0,2.4,63.8,309330,124170,37648554300,"Doctoral or professional degree","None",0.012,305520
"328","Pharmacy Aides",4.7,26.8,34.5,11.3,17,2,3.9,31.5,45.8,5.9,35960,26120,1043918800,"High school diploma or equivalent","None",0.72,35840
"329","Pharmacy Technicians",1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.9,56.3,3.6,417720,31750,13809823200,"High school diploma or equivalent","None",0.92,398410
"330","Photographers",2.2,12,24.1,10.5,42.1,8,1.1,14.2,34.6,9.1,49320,32490,2068480800,"High school diploma or equivalent","None",0.021,48660
"331","Photographic Process Workers and Processing Machine Operators",6.1,25.9,21.6,10.4,30.4,4.7,0.9,32,32,5.6,22450,27480,737931500,"High school diploma or equivalent","None",0.99,26200
"332","Physical Therapist Aides",1.5,6.1,13.4,51.8,23.5,2.4,1.4,7.6,65.2,3.8,49290,25730,1375683900,"High school diploma or equivalent","None",0.61,50010
"333","Physical Therapist Assistants",1.5,6.1,13.4,51.8,23.5,2.4,1.4,7.6,65.2,3.8,90170,57430,5195595400,"Associate's degree","None",0.018,85590
"334","Physical Therapists",0.4,0.8,1.2,4.1,31.1,24.9,37.5,1.2,5.3,62.4,225420,86850,19854993600,"Doctoral or professional degree","None",0.021,216950
"335","Physician Assistants",0.4,0.6,2.2,4.5,16.5,58.6,17.2,1,6.7,75.8,109220,104860,11441887200,"Master's degree","None",0.14,104100
"336","Physicists",0,0,0,0,18.1,27.7,54.1,0,0,81.8,16710,118830,2056666800,"Doctoral or professional degree","None",0.1,16350
"337","Pile-Driver Operators",20.3,50.9,20.8,4.9,2.8,0.2,0.1,71.2,25.7,0.3,3710,57650,236586700,"High school diploma or equivalent","None",0.82,2970
"338","Pipelayers",16.5,46.5,24.6,7.3,4.4,0.5,0.2,63,31.9,0.7,38690,38400,1671794900,"No formal educational credential","None",0.62,39320
